Ticker,Company Name,CIK,Sector,Industry,Market Cap
CPRX,"CATALYST PHARMACEUTICALS, INC.",0001369568,Healthcare,Biotechnology,1746683520
MRCY,MERCURY SYSTEMS INC,0001049521,Industrials,Aerospace & Defense,1750703360
FOR,Forestar Group Inc.,0001406587,Real Estate,Real Estate—Development,1645894272
VEON,VEON Ltd.,0001468091,Communication Services,Telecom Services,1825249024
GAB,GABELLI EQUITY TRUST INC,0000794685,Financial Services,Asset Management,1624348544
GENI,Genius Sports Ltd,0001834489,Communication Services,Internet Content & Information,1442599552
XMTR,"Xometry, Inc.",0001657573,Industrials,Specialty Industrial Machinery,1449186816
NATL,NCR Atleos Corp,0001974138,Technology,Software—Application,1513005952
COHU,COHU INC,0000021535,Technology,Semiconductor Equipment & Materials,1490912768
ACHR,Archer Aviation Inc.,0001824502,Industrials,Aerospace & Defense,1435374720
TY,TRI-CONTINENTAL CORP,0000099614,Financial Services,Asset Management,1581959808
SGML,Sigma Lithium Corp,0001848309,Basic Materials,Other Industrial Metals & Mining,1528668928
MRTN,MARTEN TRANSPORT LTD,0000799167,Industrials,Trucking,1520538240
KRP,"Kimbell Royalty Partners, LP",0001657788,Energy,Oil & Gas E&P,1606769024
SABR,Sabre Corp,0001597033,Consumer Cyclical,Travel Services,992342784
EYE,"National Vision Holdings, Inc.",0001710155,Consumer Cyclical,Specialty Retail,1791677312
OCSL,Oaktree Specialty Lending Corp,0001414932,Financial Services,Credit Services,1560490496
CSGS,CSG SYSTEMS INTERNATIONAL INC,0001005757,Technology,Software—Infrastructure,1610842880
SPNS,SAPIENS INTERNATIONAL CORP N V,0000885740,Technology,Software—Application,1689252096
RC,Ready Capital Corp,0001527590,Real Estate,REIT—Mortgage,1477820928
TTMI,TTM TECHNOLOGIES INC,0001116942,Technology,Electronic Components,1514759680
AHL-PC,ASPEN INSURANCE HOLDINGS LTD,0001267395,Financial Services,Insurance—Property & Casualty,1540821504
KURA,"Kura Oncology, Inc.",0001422143,Healthcare,Biotechnology,1641513728
KAR,"OPENLANE, Inc.",0001395942,Consumer Cyclical,Auto & Truck Dealerships,1616368128
VGR,VECTOR GROUP LTD,0000059440,Consumer Defensive,Tobacco,1759742336
IMKTA,INGLES MARKETS INC,0000050493,Consumer Defensive,Grocery Stores,1444923008
VRE,"Veris Residential, Inc.",0000924901,Real Estate,REIT—Residential,1480552576
ATRC,"AtriCure, Inc.",0001323885,Healthcare,Medical Instruments & Supplies,1616088448
SUPN,"SUPERNUS PHARMACEUTICALS, INC.",0001356576,Healthcare,Drug Manufacturers—Specialty & Generic,1707548160
GLP,GLOBAL PARTNERS LP,0001323468,Energy,Oil & Gas Midstream,1573956608
OMI,OWENS & MINOR INC/VA/,0000075252,Healthcare,Medical Distribution,1914917632
GEO,GEO GROUP INC,0000923796,Industrials,Security & Protection Services,1540641280
ARI,"Apollo Commercial Real Estate Finance, Inc.",0001467760,Real Estate,REIT—Mortgage,1552409728
TNDM,TANDEM DIABETES CARE INC,0001438133,Healthcare,Medical Devices,1760223360
PTGX,"Protagonist Therapeutics, Inc",0001377121,Healthcare,Biotechnology,1749376768
JACK,JACK IN THE BOX INC,0000807882,Consumer Cyclical,Restaurants,1406704000
BANR,BANNER CORP,0000946673,Financial Services,Banks—Regional,1515455744
EE,"Excelerate Energy, Inc.",0001888447,Energy,Oil & Gas Midstream,1509464960
BRP,"BRP Group, Inc.",0001781755,Financial Services,Insurance Brokers,1766818176
MXL,"MAXLINEAR, INC",0001288469,Technology,Semiconductors,1551274496
FNMA,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,0000310522,Financial Services,Mortgage Finance,1486987648
FIHL,Fidelis Insurance Holdings Ltd,0001636639,Financial Services,Insurance—Diversified,1755754368
OXM,OXFORD INDUSTRIES INC,0000075288,Consumer Cyclical,Apparel Manufacturing,1583135104
LUMN,"Lumen Technologies, Inc.",0000018926,Communication Services,Telecom Services,1637527808
RES,RPC INC,0000742278,Energy,Oil & Gas Equipment & Services,1583870080
PHR,"Phreesia, Inc.",0001412408,Healthcare,Health Information Services,1406450304
BTT,BlackRock Municipal 2030 Target Term Trust,0001528437,Financial Services,Asset Management,1476387328
PHVS,Pharvaris N.V.,0001830487,Healthcare,Biotechnology,1283176704
NWBI,"Northwest Bancshares, Inc.",0001471265,Financial Services,Banks—Regional,1443368064
HMN,HORACE MANN EDUCATORS CORP /DE/,0000850141,Financial Services,Insurance—Property & Casualty,1505240832
OLPX,"OLAPLEX HOLDINGS, INC.",0001868726,Consumer Cyclical,Specialty Retail,1270182016
ETV,Eaton Vance Tax-Managed Buy-Write Opportunities Fund,0001322436,Financial Services,Asset Management,1504796800
AMWD,AMERICAN WOODMARK CORP,0000794619,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1619788288
GPRE,Green Plains Inc.,0001309402,Basic Materials,Chemicals,1393252224
PRTA,PROTHENA CORP PUBLIC LTD CO,0001559053,Healthcare,Biotechnology,1582337280
GBX,GREENBRIER COMPANIES INC,0000923120,Industrials,Railroads,1546767360
BDJ,BlackRock Enhanced Equity Dividend Trust,0001332283,Financial Services,Asset Management,1488222080
STAA,STAAR SURGICAL CO,0000718937,Healthcare,Medical Instruments & Supplies,1534578048
UTZ,"Utz Brands, Inc.",0001739566,Consumer Defensive,Packaged Foods,1492190336
ZIM,ZIM Integrated Shipping Services Ltd.,0001654126,Industrials,Marine Shipping,1511687936
PLMR,"Palomar Holdings, Inc.",0001761312,Financial Services,Insurance—Property & Casualty,1866659584
PUYI,"PUYI, INC.",0001750264,Financial Services,Asset Management,1729238016
CHCO,CITY HOLDING CO,0000726854,Financial Services,Banks—Regional,1484959872
CNNE,"Cannae Holdings, Inc.",0001704720,Consumer Cyclical,Restaurants,1564952320
EFSC,ENTERPRISE FINANCIAL SERVICES CORP,0001025835,Financial Services,Banks—Regional,1485550720
SAFE,Safehold Inc.,0001095651,Real Estate,REIT—Diversified,1394882176
NTCT,NETSCOUT SYSTEMS INC,0001078075,Technology,Software—Infrastructure,1522282240
ABCL,AbCellera Biologics Inc.,0001703057,Healthcare,Biotechnology,1487332608
HLIT,HARMONIC INC,0000851310,Technology,Communication Equipment,1439149696
MLNK,"MeridianLink, Inc.",0001834494,Technology,Software—Application,1438159872
ADUS,Addus HomeCare Corp,0001468328,Healthcare,Medical Care Facilities,1488509568
XPEL,"XPEL, Inc.",0001767258,Consumer Cyclical,Auto Parts,1443667456
PDO,PIMCO Dynamic Income Opportunities Fund,0001798618,Basic Materials,Independent Oil & Gas,1441400960
SCS,STEELCASE INC,0001050825,Industrials,Business Equipment & Supplies,1494023808
KYN,"Kayne Anderson Energy Infrastructure Fund, Inc.",0001293613,Financial Services,Asset Management,1541583488
SPHR,Sphere Entertainment Co.,0001795250,Communication Services,Entertainment,1431383168
LPG,DORIAN LPG LTD.,0001596993,Energy,Oil & Gas Midstream,1461681280
VZIO,Vizio Holding Corp.,0001835591,Technology,Consumer Electronics,2180134656
AVPT,"AvePoint, Inc.",0001777921,Technology,Software—Infrastructure,1455521408
KN,Knowles Corp,0001587523,Technology,Communication Equipment,1465000704
EYPT,"EyePoint Pharmaceuticals, Inc.",0001314102,Healthcare,Biotechnology,1368219008
MMI,"Marcus & Millichap, Inc.",0001578732,Real Estate,Real Estate Services,1397062528
USLM,UNITED STATES LIME & MINERALS INC,0000082020,Basic Materials,Building Materials,1441807360
GRND,Grindr Inc.,0001820144,Technology,Software—Application,1462899584
XHR,"Xenia Hotels & Resorts, Inc.",0001616000,Real Estate,REIT—Hotel & Motel,1575167232
HLX,HELIX ENERGY SOLUTIONS GROUP INC,0000866829,Energy,Oil & Gas Equipment & Services,1385120256
GTY,GETTY REALTY CORP /MD/,0001052752,Real Estate,REIT—Retail,1417497728
SAGE,"Sage Therapeutics, Inc.",0001597553,Healthcare,Biotechnology,1365023104
PRG,"PROG Holdings, Inc.",0001808834,Industrials,Rental & Leasing Services,1291437952
DAC,Danaos Corp,0001369241,Industrials,Marine Shipping,1406857088
VTEX,VTEX,0001793663,Technology,Software—Application,1590877696
TWKS,"Thoughtworks Holding, Inc.",0001866550,Technology,Information Technology Services,1031702464
NTST,NETSTREIT Corp.,0001798100,Real Estate,REIT—Retail,1230439936
CSIQ,Canadian Solar Inc.,0001375877,Technology,Solar,1354561920
TLRY,"Tilray Brands, Inc.",0001731348,Healthcare,Drug Manufacturers—Specialty & Generic,1325219712
HE,HAWAIIAN ELECTRIC INDUSTRIES INC,0000354707,Utilities,Utilities—Regulated Electric,1365537536
GIII,G III APPAREL GROUP LTD /DE/,0000821002,Consumer Cyclical,Apparel Manufacturing,1469231104
LNN,LINDSAY CORP,0000836157,Industrials,Farm & Heavy Construction Machinery,1339427072
SLNO,SOLENO THERAPEUTICS INC,0001484565,Healthcare,Biotechnology,1544794624
ALGT,Allegiant Travel CO,0001362468,Industrials,Airlines,1357640576
FLNG,Flex LNG Ltd.,0001772253,Energy,Oil & Gas Midstream,1356599808
FBNC,FIRST BANCORP /NC/,0000811589,Financial Services,Banks—Regional,1386640256
HTLF,HEARTLAND FINANCIAL USA INC,0000920112,Financial Services,Banks—Regional,1398494848
LESL,"Leslie's, Inc.",0001821806,Consumer Cyclical,Specialty Retail,1426285440
TBLA,Taboola.com Ltd.,0001840502,Communication Services,Internet Content & Information,1334619520
USPH,U S PHYSICAL THERAPY INC /NV,0000885978,Healthcare,Medical Care Facilities,1492255616
ZIP,"ZIPRECRUITER, INC.",0001617553,Industrials,Staffing & Employment Services,1221084160
CMTG,"Claros Mortgage Trust, Inc.",0001666291,Real Estate,REIT—Mortgage,1280616192
NTB,Bank of N.T. Butterfield & Son Ltd,0001653242,Financial Services,Banks—Diversified,1392752000
PHIN,PHINIA INC.,0001968915,Consumer Cyclical,Auto Parts,1576095616
LILA,Liberty Latin America Ltd.,0001712184,Communication Services,Telecom Services,1292046464
NHC,NATIONAL HEALTHCARE CORP,0001047335,Healthcare,Medical Care Facilities,1500769408
ADEA,Adeia Inc.,0001803696,Technology,Software—Application,1230553344
CDLR,Cadeler A/S,0001978867,Industrials,Marine Shipping,1508096256
WKC,WORLD KINECT CORP,0000789460,Energy,Oil & Gas Refining & Marketing,1480096000
STEW,"SRH Total Return Fund, Inc.",0000102426,Financial Services,Asset Management,1429818880
OSW,ONESPAWORLD HOLDINGS Ltd,0001758488,Consumer Cyclical,Leisure,1345798528
BSTZ,BlackRock Science & Technology Term Trust,0001768666,Financial Services,Asset Management,1437171712
CTS,CTS CORP,0000026058,Technology,Electronic Components,1371346560
LTGHY,Life Healthcare Group Holdings Limited/ADR,0001569963,Healthcare,Medical Care Facilities,1339371136
RCUS,"Arcus Biosciences, Inc.",0001724521,Healthcare,Biotechnology,1756416640
EQX,Equinox Gold Corp.,0001756607,Basic Materials,Gold,1298668160
HYT,"BLACKROCK CORPORATE HIGH YIELD FUND, INC.",0001222401,Financial Services,Asset Management,1370633472
HLIO,"HELIOS TECHNOLOGIES, INC.",0001024795,Industrials,Specialty Industrial Machinery,1465404672
KW,"Kennedy-Wilson Holdings, Inc.",0001408100,Real Estate,Real Estate Services,1176448768
LMAT,LEMAITRE VASCULAR INC,0001158895,Healthcare,Medical Instruments & Supplies,1595269632
OEC,Orion S.A.,0001609804,Basic Materials,Specialty Chemicals,1301854592
DCBO,Docebo Inc.,0001829959,Technology,Software—Application,1626577920
BXMX,Nuveen S&P 500 BuyWrite Income Fund,0001298699,Financial Services,Asset Management,1374977920
SBH,"Sally Beauty Holdings, Inc.",0001368458,Consumer Cyclical,Specialty Retail,1313147776
LADR,Ladder Capital Corp,0001577670,Real Estate,REIT—Mortgage,1323780736
GEL,GENESIS ENERGY LP,0001022321,Energy,Oil & Gas Midstream,1421806976
FWRG,"First Watch Restaurant Group, Inc.",0001789940,Consumer Cyclical,Restaurants,1513385216
NOVA,Sunnova Energy International Inc.,0001772695,Technology,Solar,805944704
AGIO,"AGIOS PHARMACEUTICALS, INC.",0001439222,Healthcare,Biotechnology,1892078848
SYBT,"Stock Yards Bancorp, Inc.",0000835324,Financial Services,Banks—Regional,1325056640
ETG,EATON VANCE TAX ADVANTAGED GLOBAL DIVIDEND INCOME FUND,0001270523,Financial Services,Asset Management,1357865856
CRSR,"Corsair Gaming, Inc.",0001743759,Technology,Computer Hardware,1322765312
MSC,STUDIO CITY INTERNATIONAL HOLDINGS Ltd,0001713334,Consumer Cyclical,Resorts & Casinos,1319227776
AVDL,AVADEL PHARMACEUTICALS PLC,0001012477,Healthcare,Drug Manufacturers—Specialty & Generic,1132898816
MRVI,"MARAVAI LIFESCIENCES HOLDINGS, INC.",0001823239,Healthcare,Biotechnology,2026597376
AG,FIRST MAJESTIC SILVER CORP,0001308648,Basic Materials,Silver,1279945344
MCRI,MONARCH CASINO & RESORT INC,0000907242,Consumer Cyclical,Resorts & Casinos,1319031680
KFRC,KFORCE INC,0000930420,Industrials,Staffing & Employment Services,1344692608
FCF,FIRST COMMONWEALTH FINANCIAL CORP /PA/,0000712537,Financial Services,Banks—Regional,1317283456
SG,"Sweetgreen, Inc.",0001477815,Consumer Cyclical,Restaurants,1392396032
DAWN,"Day One Biopharmaceuticals, Inc.",0001845337,Healthcare,Biotechnology,1476804736
NISUY,NIPPON SUISAN KAISHA LTD /ADR/,0000110095,Consumer Defensive,Packaged Foods,1330356608
FWRD,FORWARD AIR CORP,0000912728,Industrials,Integrated Freight & Logistics,1212481792
KNSA,"Kiniksa Pharmaceuticals, Ltd.",0001730430,Healthcare,Biotechnology,1434199936
PAR,PAR TECHNOLOGY CORP,0000708821,Technology,Software—Application,1214815872
FINV,FinVolution Group,0001691445,Financial Services,Credit Services,1459420032
UFPT,UFP TECHNOLOGIES INC,0000914156,Healthcare,Medical Devices,1588032256
BASE,"Couchbase, Inc.",0001845022,Technology,Software—Infrastructure,1327737600
JKS,"JinkoSolar Holding Co., Ltd.",0001481513,Technology,Solar,1359120384
CHEF,"Chefs' Warehouse, Inc.",0001517175,Consumer Defensive,Food Distribution,1488634880
TR,TOOTSIE ROLL INDUSTRIES INC,0000098677,Consumer Defensive,Confectioners,1290654720
LGND,LIGAND PHARMACEUTICALS INC,0000886163,Healthcare,Biotechnology,1474039424
CDRE,"Cadre Holdings, Inc.",0001860543,Industrials,Aerospace & Defense,1352344320
SMTC,SEMTECH CORP,0000088941,Technology,Semiconductors,1313981312
OMCL,"OMNICELL, INC.",0000926326,Healthcare,Health Information Services,1194935808
RSI,"Rush Street Interactive, Inc.",0001793659,Consumer Cyclical,Gambling,1239127296
VRNA,Verona Pharma plc,0001657312,Healthcare,Biotechnology,1376566784
UVV,UNIVERSAL CORP /VA/,0000102037,Consumer Defensive,Tobacco,1177056256
DSL,DoubleLine Income Solutions Fund,0001566388,Financial Services,Asset Management,1298686592
CLMT,"Calumet Specialty Products Partners, L.P.",0001340122,Energy,Oil & Gas E&P,1234696576
SAND,SANDSTORM GOLD LTD,0001434614,Basic Materials,Gold,1197479040
WINA,WINMARK CORP,0000908315,Consumer Cyclical,Specialty Retail,1319358080
NWN,Northwest Natural Holding Co,0001733998,Utilities,Utilities—Regulated Gas,1395921664
CMRE,Costamare Inc.,0001503584,Industrials,Marine Shipping,1355244928
HWKN,HAWKINS INC,0000046250,Basic Materials,Specialty Chemicals,1433047936
ADV,Advantage Solutions Inc.,0001776661,Communication Services,Advertising Agencies,1259880704
STEL,"Stellar Bancorp, Inc.",0001473844,Financial Services,Banks—Regional,1244344832
PCRX,"Pacira BioSciences, Inc.",0001396814,Healthcare,Drug Manufacturers—Specialty & Generic,1388951552
CASH,"PATHWARD FINANCIAL, INC.",0000907471,Financial Services,Banks—Regional,1296207104
DQ,DAQO NEW ENERGY CORP.,0001477641,Technology,Semiconductor Equipment & Materials,1367808000
NMFC,New Mountain Finance Corp,0001496099,Financial Services,Asset Management,1314780800
KAMN,KAMAN Corp,0000054381,Industrials,Aerospace & Defense,1291209344
MIRM,"Mirum Pharmaceuticals, Inc.",0001759425,Healthcare,Biotechnology,1353213184
GOGO,Gogo Inc.,0001537054,Communication Services,Telecom Services,1071957056
MGNI,"MAGNITE, INC.",0001595974,Communication Services,Advertising Agencies,1432272000
TWO,TWO HARBORS INVESTMENT CORP.,0001465740,Real Estate,REIT—Mortgage,1293871744
SVC,Service Properties Trust,0000945394,Real Estate,REIT—Hotel & Motel,1269798144
ELME,Elme Communities,0000104894,Real Estate,REIT—Residential,1132167680
NBHC,National Bank Holdings Corp,0001475841,Financial Services,Banks—Regional,1252191616
KEN,Kenon Holdings Ltd.,0001611005,Utilities,Utilities—Independent Power Producers,1353288448
LTC,LTC PROPERTIES INC,0000887905,Real Estate,REIT—Healthcare Facilities,1359127808
HOPE,HOPE BANCORP INC,0001128361,Financial Services,Banks—Regional,1294969088
PDFS,PDF SOLUTIONS INC,0001120914,Technology,Software—Application,1254591360
BUSE,FIRST BUSEY CORP /NV/,0000314489,Financial Services,Banks—Regional,1257424000
ALHC,"Alignment Healthcare, Inc.",0001832466,Healthcare,Healthcare Plans,1041941056
NEXT,NextDecade Corp.,0001612720,Energy,Oil & Gas E&P,1199534848
STER,Sterling Check Corp.,0001645070,Technology,Software—Infrastructure,1176678016
TNGX,"Tango Therapeutics, Inc.",0001819133,Healthcare,Biotechnology,1187163648
BLTE,"BELITE BIO, INC",0001889109,Healthcare,Biotechnology,1258247552
BST,BlackRock Science & Technology Trust,0001616678,Financial Services,Asset Management,1258798848
ALEX,"Alexander & Baldwin, Inc.",0001545654,Real Estate,REIT—Retail,1214983040
BFS,"SAUL CENTERS, INC.",0000907254,Real Estate,REIT—Retail,1170590848
CARS,Cars.com Inc.,0001683606,Consumer Cyclical,Auto & Truck Dealerships,1196319744
VIR,"Vir Biotechnology, Inc.",0001706431,Healthcare,Biotechnology,1579199232
GES,GUESS INC,0000912463,Consumer Cyclical,Apparel Retail,1351905024
HLF,HERBALIFE LTD.,0001180262,Consumer Defensive,Packaged Foods,865562944
ZUO,ZUORA INC,0001423774,Technology,Software—Infrastructure,1229944576
TRUP,"TRUPANION, INC.",0001371285,Financial Services,Insurance—Specialty,1204071296
ANGI,Angi Inc.,0001705110,Communication Services,Internet Content & Information,1412426752
SPH,SUBURBAN PROPANE PARTNERS LP,0001005210,Utilities,Utilities—Regulated Gas,1326818688
SRCE,1ST SOURCE CORP,0000034782,Financial Services,Banks—Regional,1201260032
SAFT,SAFETY INSURANCE GROUP INC,0001172052,Financial Services,Insurance—Property & Casualty,1223881728
GCT,GigaCloud Technology Inc,0001857816,Technology,Software—Infrastructure,1399074560
DO,"DIAMOND OFFSHORE DRILLING, INC.",0000949039,Energy,Oil & Gas Drilling,1155215360
INFN,Infinera Corp,0001138639,Technology,Communication Equipment,1157312384
APOG,"APOGEE ENTERPRISES, INC.",0000006845,Industrials,Building Products & Equipment,1266801408
SANA,"Sana Biotechnology, Inc.",0001770121,Healthcare,Biotechnology,2358479360
CMCO,COLUMBUS MCKINNON CORP,0001005229,Industrials,Farm & Heavy Construction Machinery,1201713280
ICHR,"ICHOR HOLDINGS, LTD.",0001652535,Technology,Semiconductor Equipment & Materials,1261265792
SKWD,"Skyward Specialty Insurance Group, Inc.",0001519449,Financial Services,Insurance—Property & Casualty,1462204160
LAZR,"Luminar Technologies, Inc./DE",0001758057,Consumer Cyclical,Auto Parts,908418304
STBA,S&T BANCORP INC,0000719220,Financial Services,Banks—Regional,1177952512
ETWO,"E2open Parent Holdings, Inc.",0001800347,Technology,Software—Application,1308145792
BRDG,Bridge Investment Group Holdings Inc.,0001854401,Financial Services,Asset Management,932351040
WABC,WESTAMERICA BANCORPORATION,0000311094,Financial Services,Banks—Regional,1200728448
PLYA,Playa Hotels & Resorts N.V.,0001692412,Consumer Cyclical,Resorts & Casinos,1252215680
PERI,Perion Network Ltd.,0001338940,Communication Services,Internet Content & Information,1074852608
GOOS,Canada Goose Holdings Inc.,0001690511,Consumer Cyclical,Apparel Manufacturing,1306196864
OXLC,Oxford Lane Capital Corp.,0001495222,Financial Services,Asset Management,1115954048
IAG,IAMGOLD CORP,0001203464,Basic Materials,Gold,1269631488
DMLP,"DORCHESTER MINERALS, L.P.",0001172358,Energy,Oil & Gas E&P,1213225088
HY,"HYSTER-YALE MATERIALS HANDLING, INC.",0001173514,Industrials,Farm & Heavy Construction Machinery,991043712
PMT,PennyMac Mortgage Investment Trust,0001464423,Real Estate,REIT—Mortgage,1199619456
VVX,"V2X, Inc.",0001601548,Industrials,Aerospace & Defense,1178340352
CAL,CALERES INC,0000014707,Consumer Cyclical,Apparel Retail,1330977536
GOTU,Gaotu Techedu Inc.,0001768259,Consumer Defensive,Education & Training Services,1987631616
ECPG,ENCORE CAPITAL GROUP INC,0001084961,Financial Services,Mortgage Finance,1128634368
JBSS,SANFILIPPO JOHN B & SON INC,0000880117,Consumer Defensive,Packaged Foods,1182862208
RYI,Ryerson Holding Corp,0001481582,Industrials,Metal Fabrication,1076351616
ACDC,ProFrac Holding Corp.,0001881487,Energy,Oil & Gas Equipment & Services,1303005056
CRCT,"Cricut, Inc.",0001828962,Technology,Computer Hardware,1054193280
SEAT,Vivid Seats Inc.,0001856031,Communication Services,Internet Content & Information,1269009920
UNIT,Uniti Group Inc.,0001620280,Real Estate,REIT—Specialty,1375944064
FNA,"Paragon 28, Inc.",0001531978,Healthcare,Medical Devices,997376512
SRRK,Scholar Rock Holding Corp,0001727196,Healthcare,Biotechnology,1230764544
EVBG,"EVERBRIDGE, INC.",0001437352,Technology,Software—Application,1166486144
LOMA,Loma Negra Compania Industrial Argentina Sociedad Anonima,0001711375,Basic Materials,Building Materials,982099584
NFJ,"Virtus Dividend, Interest & Premium Strategy Fund",0001260563,Financial Services,Asset Management,1156579456
ADMA,"ADMA BIOLOGICS, INC.",0001368514,Healthcare,Biotechnology,1219097344
AMRC,"Ameresco, Inc.",0001488139,Industrials,Engineering & Construction,1066106112
INDI,"indie Semiconductor, Inc.",0001841925,Technology,Semiconductor Equipment & Materials,982572544
NRDS,"NERDWALLET, INC.",0001625278,Communication Services,Internet Content & Information,1278321152
WNC,WABASH NATIONAL Corp,0000879526,Industrials,Farm & Heavy Construction Machinery,1273673856
DBD,"DIEBOLD NIXDORF, Inc",0000028823,Technology,Software—Application,1222420480
CARCY,China Resources Cement Holdings Limited/ADR/,0001484515,Basic Materials,Building Materials,1267286656
FDMT,"4D Molecular Therapeutics, Inc.",0001650648,Healthcare,Biotechnology,1388878720
MGNX,MACROGENICS INC,0001125345,Healthcare,Biotechnology,1073728896
SCHL,SCHOLASTIC CORP,0000866729,Communication Services,Publishing,1188554752
IMTX,Immatics N.V.,0001809196,Healthcare,Biotechnology,1281461632
MOMO,Hello Group Inc.,0001610601,Communication Services,Internet Content & Information,1277353216
PRDO,PERDOCEO EDUCATION Corp,0001046568,Consumer Defensive,Education & Training Services,1161020160
EVV,EATON VANCE LTD DURATION INCOME FUND,0001222922,Financial Services,Asset Management,1136558336
QQQX,Nuveen NASDAQ 100 Dynamic Overwrite Fund,0001608741,Financial Services,Asset Management,1159215488
KRUS,"KURA SUSHI USA, INC.",0001772177,Consumer Cyclical,Restaurants,1042810368
JFR,NUVEEN FLOATING RATE INCOME FUND,0001276533,Financial Services,Asset Management,1153176448
FSCO,FS Credit Opportunities Corp.,0001568194,Financial Services,Asset Management,1116744320
TGI,TRIUMPH GROUP INC,0001021162,Industrials,Aerospace & Defense,1088423936
MDXG,"MIMEDX GROUP, INC.",0001376339,Healthcare,Biotechnology,1197363840
FDP,FRESH DEL MONTE PRODUCE INC,0001047340,Consumer Defensive,Farm Products,1130474368
DCPH,"Deciphera Pharmaceuticals, Inc.",0001654151,Healthcare,Drug Manufacturers—Specialty & Generic,1363905536
ORLA,Orla Mining Ltd.,0001680056,Basic Materials,Gold,1023862336
NVGS,Navigator Holdings Ltd.,0001581804,Energy,Oil & Gas Midstream,1089016576
SGH,"SMART Global Holdings, Inc.",0001616533,Technology,Semiconductors,1078584320
ANIP,ANI PHARMACEUTICALS INC,0001023024,Healthcare,Drug Manufacturers—Specialty & Generic,1236019584
XNCR,Xencor Inc,0001326732,Healthcare,Biotechnology,1390389632
PFS,PROVIDENT FINANCIAL SERVICES INC,0001178970,Financial Services,Banks—Regional,1126259584
LMND,"Lemonade, Inc.",0001691421,Financial Services,Insurance—Property & Casualty,1102870016
COCO,"Vita Coco Company, Inc.",0001482981,Consumer Defensive,Beverages—Non-Alcoholic,1458695936
AUPH,Aurinia Pharmaceuticals Inc.,0001600620,Healthcare,Biotechnology,843846016
RLAY,"Relay Therapeutics, Inc.",0001812364,Healthcare,Biotechnology,1323596160
NRP,NATURAL RESOURCE PARTNERS LP,0001171486,Energy,Thermal Coal,1156065920
CTKB,"Cytek Biosciences, Inc.",0001831915,Healthcare,Medical Devices,1194186624
EDN,EDENOR,0001395213,Utilities,Utilities—Regulated Electric,953388928
UUUU,ENERGY FUELS INC,0001385849,Energy,Uranium,1048483648
NVTS,Navitas Semiconductor Corp,0001821769,Technology,Semiconductors,1034943744
JMKJ,"Coretag Holdings, Inc.",0001624140,Financial Services,Shell Companies,1124999936
DEA,"Easterly Government Properties, Inc.",0001622194,Real Estate,REIT—Office,1196530048
TCBK,TRICO BANCSHARES /,0000356171,Financial Services,Banks—Regional,1102172160
RVLV,"Revolve Group, Inc.",0001746618,Consumer Cyclical,Internet Retail,1534718464
NIC,NICOLET BANKSHARES INC,0001174850,Financial Services,Banks—Regional,1164726400
CGAU,Centerra Gold Inc.,0001854640,Basic Materials,Gold,1078027776
ALX,ALEXANDERS INC,0000003499,Real Estate,REIT—Retail,1114206464
HPP,"Hudson Pacific Properties, Inc.",0001482512,Real Estate,REIT—Office,918929216
NMZ,NUVEEN MUNICIPAL HIGH INCOME OPPORTUNITY FUND,0001266585,Financial Services,Asset Management,1143802240
MFA,"MFA FINANCIAL, INC.",0001055160,Real Estate,REIT—Mortgage,1103506432
LQDA,Liquidia Corp,0001819576,Healthcare,Biotechnology,1095863808
GDS,GDS Holdings Ltd,0001526125,Technology,Information Technology Services,1291690752
CABA,"Cabaletta Bio, Inc.",0001759138,Healthcare,Biotechnology,997534080
TASK,"TaskUs, Inc.",0001829864,Technology,Information Technology Services,1109350656
BCRX,BIOCRYST PHARMACEUTICALS INC,0000882796,Healthcare,Biotechnology,1184212224
GDEN,"GOLDEN ENTERTAINMENT, INC.",0001071255,Consumer Cyclical,Resorts & Casinos,1046509056
CWH,"Camping World Holdings, Inc.",0001669779,Consumer Cyclical,Auto & Truck Dealerships,1193482752
AIV,APARTMENT INVESTMENT & MANAGEMENT CO,0000922864,Real Estate,REIT—Residential,1056403520
PGRE,"Paramount Group, Inc.",0001605607,Real Estate,REIT—Office,1049006208
MODN,"MODEL N, INC.",0001118417,Technology,Software—Application,962146176
ECVT,Ecovyst Inc.,0001708035,Basic Materials,Specialty Chemicals,1114607104
COLL,"COLLEGIUM PHARMACEUTICAL, INC",0001267565,Healthcare,Drug Manufacturers—Specialty & Generic,1171965824
CET,CENTRAL SECURITIES CORP,0000018748,Financial Services,Asset Management,1098749824
SAVA,CASSAVA SCIENCES INC,0001069530,Healthcare,Biotechnology,972293440
PX,"P10, Inc.",0001841968,Financial Services,Asset Management,1061384768
VBTX,"Veritex Holdings, Inc.",0001501570,Financial Services,Banks—Regional,1059862656
BIOGY,BioGaia AB/ADR,0001572957,Healthcare,Drug Manufacturers—Specialty & Generic,1237870848
PWP,Perella Weinberg Partners,0001777835,Financial Services,Capital Markets,1161621376
KLG,WK Kellogg Co,0001959348,Consumer Defensive,Packaged Foods,1264882048
DGII,DIGI INTERNATIONAL INC,0000854775,Technology,Communication Equipment,1057242432
VSEC,VSE CORP,0000102752,Industrials,Aerospace & Defense,1143381504
